index,Source_airport,Destination_airport,Source_Latitude,Source_Longitude,Destination_Latitude,Destination_Longitude
0,AER,KZN,43.446,39.947,55.608,49.277
1,ASF,KZN,46.283,48.006,55.608,49.277
2,ASF,MRV,46.283,48.006,44.225,43.082
3,CEK,KZN,55.303,61.507,55.608,49.277
13,KZN,AER,55.608,49.277,43.446,39.947
14,KZN,ASF,55.608,49.277,46.283,48.006
15,KZN,CEK,55.608,49.277,55.303,61.507
18,KZN,LED,55.608,49.277,59.8,30.265
19,KZN,SVX,55.608,49.277,56.741,60.804
20,LED,KZN,59.8,30.265,55.608,49.277
21,LED,NBC,59.8,30.265,32.477,-80.723
23,MRV,ASF,44.225,43.082,46.283,48.006
26,NBC,LED,32.477,-80.723,59.8,30.265
27,NBC,SVX,32.477,-80.723,56.741,60.804
28,NJC,SVX,60.95,76.467,56.741,60.804
33,SVX,KZN,56.741,60.804,55.608,49.277
34,SVX,NBC,56.741,60.804,32.477,-80.723
35,SVX,NJC,56.741,60.804,60.95,76.467
42,BTK,IKT,56.371,101.699,52.267,104.395
45,HTA,IKT,52.026,113.305,52.267,104.395
46,IKT,BTK,52.267,104.395,56.371,101.699
47,IKT,HTA,52.267,104.395,52.026,113.305
53,IKT,YKS,52.267,104.395,62.093,129.771
62,YKS,IKT,62.093,129.771,52.267,104.395
63,AYP,LIM,-13.155,-74.204,-12.022,-77.114
64,CUZ,LIM,-13.536,-71.939,-12.022,-77.114
65,CUZ,PEM,-13.536,-71.939,-12.614,-69.229
67,IQT,PCL,-3.785,-73.309,-8.378,-74.574
68,IQT,TPP,-3.785,-73.309,-6.509,-76.373
69,LIM,AYP,-12.022,-77.114,-13.155,-74.204
70,LIM,CUZ,-12.022,-77.114,-13.536,-71.939
72,LIM,PCL,-12.022,-77.114,-8.378,-74.574
73,LIM,TPP,-12.022,-77.114,-6.509,-76.373
74,PCL,IQT,-8.378,-74.574,-3.785,-73.309
75,PCL,LIM,-8.378,-74.574,-12.022,-77.114
76,PCL,TPP,-8.378,-74.574,-6.509,-76.373
77,PEM,CUZ,-12.614,-69.229,-13.536,-71.939
78,TPP,IQT,-6.509,-76.373,-3.785,-73.309
79,TPP,LIM,-6.509,-76.373,-12.022,-77.114
80,TPP,PCL,-6.509,-76.373,-8.378,-74.574
81,ABJ,BOY,5.26,-3.926,11.16,-4.331
82,ABJ,OUA,5.26,-3.926,12.353,-1.512
83,ACC,OUA,5.603,-0.168,12.353,-1.512
84,BKO,ABJ,12.533,-7.95,5.26,-3.926
85,BKO,DKR,12.533,-7.95,14.739,-17.49
86,BKO,OUA,12.533,-7.95,12.353,-1.512
87,BOY,ABJ,11.16,-4.331,5.26,-3.926
88,BOY,OUA,11.16,-4.331,12.353,-1.512
89,COO,LFW,6.357,2.384,6.166,1.254
90,COO,OUA,6.357,2.384,12.353,-1.512
91,DKR,BKO,14.739,-17.49,12.533,-7.95
92,DKR,OUA,14.739,-17.49,12.353,-1.512
93,LFW,OUA,6.166,1.254,12.353,-1.512
94,NIM,OUA,13.481,2.184,12.353,-1.512
95,OUA,ABJ,12.353,-1.512,5.26,-3.926
96,OUA,ACC,12.353,-1.512,5.603,-0.168
97,OUA,BKO,12.353,-1.512,12.533,-7.95
98,OUA,BOY,12.353,-1.512,11.16,-4.331
99,OUA,COO,12.353,-1.512,6.357,2.384
100,OUA,DKR,12.353,-1.512,14.739,-17.49
101,OUA,LFW,12.353,-1.512,6.166,1.254
102,OUA,NIM,12.353,-1.512,13.481,2.184
103,BOG,GYE,4.701,-74.147,-2.158,-79.884
104,BOG,UIO,4.701,-74.147,-0.141,-78.488
105,CLO,GYE,3.543,-76.381,-2.158,-79.884
106,GYE,BOG,-2.158,-79.884,4.701,-74.147
107,GYE,CLO,-2.158,-79.884,3.543,-76.381
109,GYE,UIO,-2.158,-79.884,-0.141,-78.488
110,OCC,UIO,-0.463,-76.986,-0.141,-78.488
112,UIO,BOG,-0.141,-78.488,4.701,-74.147
113,UIO,GYE,-0.141,-78.488,-2.158,-79.884
114,UIO,OCC,-0.141,-78.488,-0.463,-76.986
115,BDS,ZRH,40.657,17.947,47.465,8.549
116,BOD,ZRH,44.828,-0.716,47.465,8.549
117,BRS,ZRH,51.383,-2.719,47.465,8.549
118,GVA,LPA,46.238,6.109,27.932,-15.386
119,LCA,ZRH,34.875,33.625,47.465,8.549
120,LPA,ZRH,27.932,-15.386,47.465,8.549
122,TFS,GVA,28.044,-16.572,46.238,6.109
123,ZRH,BDS,47.465,8.549,40.657,17.947
124,ZRH,BOD,47.465,8.549,44.828,-0.716
125,ZRH,BRS,47.465,8.549,51.383,-2.719
126,ZRH,LCA,47.465,8.549,34.875,33.625
127,ZRH,LPA,47.465,8.549,27.932,-15.386
129,AJR,LYC,65.59,19.282,64.548,18.716
130,ARN,GEV,59.652,17.919,67.132,20.814
131,ARN,HAD,59.652,17.919,56.691,12.82
132,ARN,JKG,59.652,17.919,57.758,14.069
133,ARN,KRF,59.652,17.919,63.048,17.769
135,ARN,LYC,59.652,17.919,64.548,18.716
136,ARN,MHQ,59.652,17.919,60.122,19.898
137,ARN,OER,59.652,17.919,63.408,18.99
138,ARN,POR,59.652,17.919,61.462,21.8
139,ARN,TRF,59.652,17.919,59.187,10.259
140,ARN,VBY,59.652,17.919,57.663,18.346
141,ARN,VHM,59.652,17.919,64.579,16.833
142,ARN,VXO,59.652,17.919,56.929,14.728
143,GEV,ARN,67.132,20.814,59.652,17.919